Date,TankNum,sediment,notes
March-2-2019,1,1.25,
March-2-2019,2,0.75,
March-2-2019,3,1.25,
March-2-2019,4,1,
March-2-2019,5,1,
March-2-2019,6,0.25,
March-2-2019,7,1.75,
March-2-2019,8,1.5,
March-2-2019,9,0.5,
March-2-2019,10,1.5,
March-2-2019,11,1,
March-2-2019,12,2,
March-2-2019,13,2.75,
March-2-2019,14,1.5,
March-2-2019,15,0.75,
March-2-2019,16,0.25,
March-2-2019,17,0.25,
March-2-2019,18,2.5,
March-2-2019,19,2.5,
March-2-2019,1,1.75,
March-2-2019,2,0.75,
March-2-2019,3,1,
March-2-2019,4,1,
March-2-2019,5,1.25,
March-2-2019,6,0.25,
March-2-2019,7,1.5,
March-2-2019,8,2,
March-2-2019,9,0.5,
March-2-2019,10,1.25,
March-2-2019,11,1.5,
March-2-2019,12,1.5,
March-2-2019,13,2,
March-2-2019,14,1,
March-2-2019,15,1,
March-2-2019,16,0.25,
March-2-2019,17,0.125,
March-2-2019,18,2.25,
March-2-2019,19,2,
March-3-2019,20,0.5,
March-3-2019,21,1.25,
March-3-2019,22,1.5,
March-3-2019,23,2,
March-3-2019,24,0.75,
March-3-2019,25,1,
March-3-2019,26,1,
March-3-2019,27,2.75,
March-3-2019,28,0.5,
March-3-2019,29,0.5,
March-3-2019,30,0.125,
March-3-2019,31,1,
March-6-2019,32,0.75,
March-6-2019,33,1.25,
March-6-2019,34,1,
March-6-2019,35,1,
March-6-2019,36,1,
March-6-2019,37,0.25,
March-6-2019,38,0.75,
March-6-2019,39,0.75,
March-3-2019,20,0.5,
March-3-2019,21,2,
March-3-2019,22,1.5,
March-3-2019,23,1.75,
March-3-2019,24,0.75,
March-3-2019,25,1.25,
March-3-2019,26,0.75,
March-3-2019,27,2.5,
March-3-2019,28,0.5,
March-3-2019,29,0.5,
March-3-2019,30,0.25,
March-3-2019,31,1.5,
March-6-2019,32,1.5,
March-6-2019,33,1.75,
March-6-2019,34,1,
March-6-2019,35,1,
March-6-2019,36,1,
March-6-2019,37,0.125,
March-6-2019,38,0.5,
March-6-2019,39,1,
March-8-2019,40,0.75,
March-8-2019,41,0.75,
March-8-2019,42,0.5,
March-8-2019,43,0.125,
March-8-2019,44,0.25,
March-8-2019,45,1.25,
March-8-2019,46,0.75,
March-8-2019,47,1,
March-8-2019,48,0.125,
March-8-2019,49,1,
March-8-2019,50,0.5,
March-8-2019,51,1.5,
March-8-2019,52,3,
March-8-2019,53,0.125,less than 
March-8-2019,54,0.75,
March-8-2019,55,1.5,
March-8-2019,56,0.125,
March-8-2019,40,1.5,
March-8-2019,41,2,
March-8-2019,42,3,
March-8-2019,43,0.125,
March-8-2019,44,0.75,
March-8-2019,45,1.5,
March-8-2019,46,0.5,
March-8-2019,47,1.75,3 snail egg masses
March-8-2019,48,0.125,
March-8-2019,49,0.5,
March-8-2019,50,0.5,
March-8-2019,51,1.25,
March-8-2019,52,0.75,tube
March-8-2019,53,0.125,"less than, snail eggs"
March-8-2019,54,0.75,
March-8-2019,55,1.5,
March-8-2019,56,0.125,
March-8-2019,57,1,
March-8-2019,58,0.5,
March-8-2019,59,0.5,
March-8-2019,60,1,
March-9-2019,61,1,
March-9-2019,62,1,
March-9-2019,63,1,
March-9-2019,64,1,
March-9-2019,65,0.5,
March-9-2019,66,1.75,
March-9-2019,67,0.5,
March-9-2019,68,0.5,
March-9-2019,69,1.25,
March-9-2019,70,1.5,
March-9-2019,71,1.25,
March-9-2019,72,2,
March-9-2019,73,0.75,
March-9-2019,74,0.75,
March-9-2019,75,2.5,
March-9-2019,76,1,
March-9-2019,77,1.25,
March-9-2019,78,0.25,
March-9-2019,79,1.5,
March-9-2019,80,0.5,
March-9-2019,81,0.5,
March-9-2019,82,0.75,
March-8-2019,57,1,
March-8-2019,58,2,
March-8-2019,59,0.75,
March-8-2019,60,0.5,juvenile and adult snail and snail egg mass
March-9-2019,61,0.125,6 juvenile snail and egg mass
March-9-2019,62,1.25,
March-9-2019,63,1,
March-9-2019,64,1,
March-9-2019,65,0.5,
March-9-2019,66,1.25,
March-9-2019,67,0.25,1 egg mass
March-9-2019,68,0.75,
March-9-2019,69,1,
March-9-2019,70,1,
March-9-2019,71,0.75,
March-9-2019,72,1.5,
March-9-2019,73,0.75,
March-9-2019,74,0.75,
March-9-2019,75,2.5,
March-9-2019,76,1,
March-9-2019,77,1.5,
March-9-2019,78,0.25,3 egg mass
March-9-2019,79,1.25,
March-9-2019,80,0.5,
March-9-2019,81,0.75,
March-9-2019,82,0.5,
March-13-2019,83,2,
March-13-2019,84,0.025,
March-13-2019,85,1,
March-13-2019,86,1,
March-13-2019,87,1.75,
March-13-2019,88,1,
March-13-2019,89,1,
March-13-2019,90,0.75,
March-13-2019,91,1.5,
March-13-2019,92,0.5,
March-13-2019,93,0.25,
March-13-2019,94,1.5,
March-13-2019,95,1,
March-13-2019,96,1.75,
March-13-2019,97,0.5,
March-13-2019,98,1.25,
March-13-2019,99,1.25,
March-13-2019,100,2.5,
March-13-2019,101,0.75,
March-13-2019,102,1.5,
March-13-2019,103,1,
March-13-2019,104,1.75,
March-13-2019,105,1,
March-13-2019,106,1.75,
March-13-2019,107,1,
March-13-2019,83,2.25,1 egg mass
March-13-2019,84,0.75,7 egg mass
March-13-2019,85,1.25,
March-13-2019,86,1,
March-13-2019,87,0.5,
March-13-2019,88,1,
March-13-2019,89,1,
March-13-2019,90,0.75,
March-13-2019,91,1.5,
March-13-2019,92,0.25,
March-13-2019,93,0.125,
March-13-2019,94,1.5,
March-13-2019,95,0.25,egg mass
March-13-2019,96,1.5,
March-13-2019,97,1,
March-13-2019,98,1.25,
March-13-2019,99,1.25,
March-13-2019,100,1.5,
March-13-2019,101,0.75,
March-13-2019,102,1,
March-13-2019,103,1,
March-13-2019,104,2,
March-13-2019,105,0.75,
March-13-2019,106,1.5,
March-13-2019,107,1,lots of tubes
March-14-2019,108,0.25,11 egg mass
March-14-2019,109,0.5,"3 egg mass, 1 baby snail"
March-14-2019,110,0.5,
March-14-2019,111,1.25,
March-14-2019,112,0.75,
March-14-2019,113,0.5,8 eggmass
March-14-2019,114,1.5,7 egg mass
March-14-2019,115,0.5,
March-14-2019,116,1.75,
March-14-2019,117,2.5,
March-14-2019,118,2,
March-14-2019,119,0.5,
March-15-2019,120,2.5,
March-15-2019,121,0.75,2 eggmass
March-15-2019,122,0.5,
March-15-2019,123,1.5,
March-15-2019,124,0.66,greater than 0.5 less than 0.75
March-15-2019,125,1,
March-15-2019,126,0.5,
March-15-2019,127,0.66,greater than 0.5 less than 0.75
March-15-2019,128,0.25,
March-15-2019,129,1.25,
March-15-2019,130,0.75,
March-15-2019,131,1,
March-15-2019,132,1,
March-15-2019,133,0.75,
March-15-2019,134,1.5,
March-15-2019,135,0.5,
March-15-2019,136,1.5,
March-14-2019,108,0.25,4 egg mass 
March-14-2019,109,0.5,"1 baby, 3 eggmass"
March-14-2019,110,0.5,
March-14-2019,111,1.5,
March-14-2019,112,0.75,
March-14-2019,113,0.25,4 egg mass 
March-14-2019,114,0.75,8 eggmass
March-14-2019,115,0.5,
March-14-2019,116,1.25,
March-14-2019,117,2.5,
March-14-2019,118,2.75,
March-14-2019,119,0.5,
March-15-2019,120,2.5,
March-15-2019,121,0.75,1 egg mass
March-15-2019,122,1,
March-15-2019,123,1.5,
March-15-2019,124,0.75,
March-15-2019,125,1,
March-15-2019,126,0.5,
March-15-2019,127,0.5,4 egg mass 
March-15-2019,128,0.66,2 eggmass
March-15-2019,129,1,1 ~2mm snail
March-15-2019,130,1.25,
March-15-2019,131,2.25,
March-15-2019,132,0.75,2 baby snail
March-15-2019,133,1.25,
March-15-2019,134,1,
March-15-2019,135,0.5,
March-15-2019,136,1.25,
March-15-2019,137,1.5,
March-15-2019,138,1.75,
March-15-2019,139,1,
March-15-2019,140,2.25,
March-15-2019,137,1.75,
March-15-2019,138,1.25,
March-15-2019,139,1,
March-15-2019,140,2,
