Date,TankNum,ExptDay,Snail Count,Snail Size,Snail Size,Snail Size,Snail Size,egg mass,babies,Notes ,Entered By,Checked by,
21-Jan,2,1,4,6,4,4,5,,,,Ofure,Lakhdeep,
08-Feb,2,19,0,,,,,,,,Ofure,Lakhdeep,
28-Feb,2,39,0,,,,,,,,Ofure,Lakhdeep,
21-Jan,3,1,4,6,4,7,4,,,,Ofure,Lakhdeep,
08-Feb,3,19,3,4,4,5,,,,,Ofure,Lakhdeep,
28-Feb,3,39,2,[2],4,,,,,,Ofure,Lakhdeep,
21-Jan,5,1,4,5,5,4,4,,,,Ofure,Lakhdeep,
08-Feb,5,19,2,3,6,,,,,,Ofure,Lakhdeep,
28-Feb,5,39,1,4,,,,,,,Ofure,Lakhdeep,
21-Jan,9,1,4,6,4,4,6,,,,Ofure,Lakhdeep,
08-Feb,9,19,1,4,,,,,,,Ofure,Lakhdeep,
28-Feb,9,39,2,1,4,,,,,,Ofure,Lakhdeep,
21-Jan,10,1,4,6,4,4,4,,,,Ofure,Lakhdeep,
08-Feb,10,19,3,3,5,6,,,,,Ofure,Lakhdeep,
28-Feb,10,39,0,[2],,,,,,Dead Snail,Ofure,Lakhdeep,
21-Jan,15,1,4,5,4,5,,,,,Ofure,Lakhdeep,
08-Feb,15,19,0,,,,,,,NO SNAILS,Ofure,Lakhdeep,
28-Feb,15,39,0,,,,,,,NO SNAILS,Ofure,Lakhdeep,
22-Jan,16,1,4,4,4,6,4,,,,Ofure,Lakhdeep,
09-Feb,16,19,2,4,4,,,,,,Ofure,Lakhdeep,
01-Mar,16,39,2,7,6,,,2,,2 egg clusters,Ofure,Lakhdeep,
22-Jan,17,1,4,5,6,4,4,,,,Ofure,Lakhdeep,
09-Feb,17,19,2,6,4,,,,,,Ofure,Lakhdeep,
01-Mar,17,39,1,6,,,,2,,2 egg clusters,Ofure,Lakhdeep,
22-Jan,18,1,4,4,4,4,6,,,,Ofure,Lakhdeep,
09-Feb,18,19,2,6,5,,,,,,Ofure,Lakhdeep,
01-Mar,18,39,2,6,4,,,,,,Ofure,Lakhdeep,
25-Jan,20,1,4,5,6,4,3,7,,7-3 attached egg mass,Ofure,Lakhdeep,
13-Feb,20,20,2,4,6,,,,,,Ofure,Lakhdeep,
05-Mar,20,40,1,8,,,,,,,Ofure,Lakhdeep,
25-Jan,23,1,4,6,5,4,5,,,,Ofure,Lakhdeep,
13-Feb,23,20,2,4,4,,,,,,Ofure,Lakhdeep,
05-Mar,23,40,0,,,,,5,,"No snails, 5 egg masses",Ofure,Lakhdeep,
25-Jan,24,1,4,4,5,4,5,,,,Ofure,Lakhdeep,
13-Feb,24,20,3,3,4,4,,,,,Ofure,Lakhdeep,
05-Mar,24,40,3,8,2,1,,2,1,2 egg masses. 1 juvenile,Ofure,Lakhdeep,
25-Jan,28,1,4,5,5,4,5,,,,Ofure,Lakhdeep,
13-Feb,28,20,2,4,4,,,,,,Ofure,Lakhdeep,
05-Mar,28,40,1,6,,,,,,,Ofure,Lakhdeep,
25-Jan,34,1,4,4,4,5,6,,,,Ofure,Lakhdeep,
13-Feb,34,20,1,5,,,,,,,Ofure,Lakhdeep,
05-Mar,34,40,0,,,,,,,No snails,Ofure,Lakhdeep,
25-Jan,37,1,4,6,4,4,6,,,,Ofure,Lakhdeep,
13-Feb,37,20,2,4,6,,,,,,Ofure,Lakhdeep,
05-Mar,37,40,2,6,6,,,3,1,"3 egg masses, 1 juvenile",Ofure,Lakhdeep,
25-Jan,39,1,4,4,7,5,3,,,,Ofure,Lakhdeep,
13-Feb,39,20,2,4,6,"
",,,,,Ofure,Lakhdeep,
05-Mar,39,40,0,,,,,,,"No snails, some dapnia & cap",Ofure,Lakhdeep,
25-Jan,40,1,4,6,2,6,6,,,,Ofure,Lakhdeep,
13-Feb,40,20,2,,,6,6,,,,Ofure,Lakhdeep,
05-Mar,40,40,0,,,,,,,No snails,Ofure,Lakhdeep,
28-Jan,42,1,4,6,4,4,5,,,,Ofure,Lakhdeep,ASK JO
16-Feb,42,20,1,4,,,,1,3,,Ofure,Lakhdeep,
07-Mar,42,39,0,,,,,,,"3 babies, 1 egg mass, 1 shell",Ofure,Lakhdeep,
28-Jan,43,1,4,5,4,4,6,,,,Ofure,Lakhdeep,ASK JO
16-Feb,43,20,2,5,5,,,,,,Ofure,Lakhdeep,
07-Mar,43,39,1,6,,,,1,,1 egg mass,Ofure,Lakhdeep,
