TankNum,treatment,ExptDay,Month,Day,Snail
5,11,38,February,27,0
9,12,29,February,18,0
9,12,37,February,26,0
9,12,38,February,27,0
9,12,39,February,28,0
15,8,19,February,8,0
15,8,20,February,9,0
15,8,22,February,11,0
15,8,23,February,12,0
15,8,29,February,18,0
15,8,30,February,19,0
15,8,31,February,20,0
15,8,32,February,21,0
15,8,33,February,22,0
15,8,34,February,23,0
15,8,35,February,24,0
15,8,36,February,25,0
15,8,37,February,26,0
15,8,38,February,27,0
15,8,39,February,28,0
18,7,31,February,21,0
18,7,32,February,22,0
18,7,34,February,24,0
18,7,35,February,25,0
18,7,39,March,1,0
23,11,38,March,3,0
23,11,40,March,5,0
34,7,33,February,26,0
34,7,38,March,3,0
34,7,40,March,5,0
39,8,30,February,23,0
39,8,32,February,25,0
39,8,34,February,27,0
39,8,35,February,28,0
39,8,36,March,1,0
39,8,37,March,2,0
39,8,38,March,3,0
39,8,40,March,5,0
40,8,34,February,27,0
40,8,37,March,2,0
40,8,38,March,3,0
40,8,40,March,5,0
83,11,38,March,11,0
83,11,39,March,12,1
83,11,40,March,13,1
85,8,30,March,3,0
85,8,32,March,5,0
85,8,33,March,6,0
85,8,34,March,7,0
85,8,35,March,8,0
85,8,38,March,11,0
85,8,39,March,12,0
85,8,40,March,13,0
86,7,33,March,6,0
86,7,34,March,7,0
86,7,35,March,8,0
87,11,28,March ,1,0
87,11,29,March,2,0
87,11,30,March,3,0
87,11,32,March,5,0
87,11,33,March,6,0
87,11,34,March,7,0
87,11,35,March,8,0
87,11,38,March,11,0
87,11,39,March,12,0
87,11,40,March,13,0
116,12,36,March,11,0
116,12,37,March,12,0
121,11,26,March,2,0
121,11,27,March,3,0
121,11,29,March,5,0
129,8,37,March,13,0
129,8,39,March,15,0
132,7,29,March,5,0
132,7,30,March,6,0
132,7,32,March,8,0
132,7,35,March,11,0
132,7,36,March,12,0
132,7,37,March,13,0
132,7,38,March,14,0
132,7,39,March,15,0
5,11,39,February,28,1
9,12,18,February,7,1
9,12,19,February,8,1
9,12,20,February,9,1
9,12,21,February,10,1
9,12,23,February,12,1
9,12,24,February,13,1
9,12,25,February,14,1
9,12,26,February,15,1
9,12,27,February,16,1
9,12,28,February,17,1
9,12,30,February,19,1
9,12,31,February,20,1
9,12,32,February,21,1
9,12,33,February,22,1
9,12,34,February,23,1
9,12,35,February,24,1
10,11,30,February,19,1
10,11,31,February,20,1
10,11,32,February,21,1
10,11,33,February,22,1
10,11,37,February,26,1
10,11,38,February,27,1
15,8,18,February,7,1
15,8,21,February,10,1
15,8,24,February,13,1
15,8,25,February,14,1
15,8,26,February,15,1
15,8,27,February,16,1
15,8,28,February,17,1
18,7,16,February,6,1
18,7,22,February,12,1
18,7,23,February,13,1
18,7,24,February,14,1
18,7,25,February,15,1
18,7,26,February,16,1
18,7,27,February,17,1
18,7,30,February,20,1
18,7,36,February,26,1
18,7,37,February,27,1
23,11,19,February,12,1
23,11,34,February,27,1
23,11,37,March,2,1
24,7,31,February,24,1
24,7,33,February,26,1
24,7,40,March,5,1
28,12,26,February,19,1
28,12,27,February,20,1
28,12,28,February,21,1
28,12,29,February,22,1
28,12,31,February,24,1
28,12,33,February,26,1
28,12,34,February,27,1
28,12,36,March,1,1
28,12,37,March,2,1
28,12,38,March,3,1
28,12,40,March,5,1
34,7,16,February,9,1
34,7,17,February,10,1
34,7,19,February,12,1
34,7,20,February,13,1
34,7,21,February,14,1
34,7,22,February,15,1
34,7,23,February,16,1
34,7,24,February,17,1
34,7,25,February,18,1
34,7,26,February,19,1
34,7,27,February,20,1
34,7,28,February,21,1
34,7,29,February,22,1
34,7,31,February,24,1
34,7,34,February,27,1
34,7,36,March,1,1
34,7,37,March,2,1
37,12,38,March,3,1
37,12,40,March,5,2
40,8,24,February,17,1
40,8,26,February,19,1
40,8,27,February,20,1
40,8,28,February,21,1
40,8,29,February,22,1
40,8,31,February,24,1
40,8,33,February,26,1
40,8,36,March,1,1
44,11,24,February,20,1
44,11,25,February,21,1
44,11,26,February,22,1
44,11,28,February,24,1
67,12,29,February,27,1
67,12,31,March ,1,1
67,12,32,March ,2,1
67,12,33,March,3,1
67,12,36,March,6,1
67,12,37,March,7,1
67,12,38,March,8,1
67,12,39,March,9,1
76,8,38,March,8,1
76,8,39,March,9,1
77,8,26,February,24,1
77,8,35,March,5,1
77,8,36,March,6,1
77,8,37,March,7,1
77,8,38,March,8,1
77,8,39,March,9,1
84,11,38,March,11,1
85,8,12,February,13,1
85,8,20,February,21,1
